trials,S1_val,S1_std,S2_val,S2_std
1,8,1,-10,1
2,8,1,-10,1
3,8,1,-10,1
4,8,1,-10,1
5,8,1,-10,1
6,8,1,-10,1
7,8,1,-10,1
8,8,1,-10,1
9,8,1,-10,1
10,8,1,-10,1
11,8,1,-10,1
12,8,1,-10,1
13,8,1,-10,1
14,8,1,-10,1
15,8,1,-10,1
16,8,1,-10,1
17,8,1,-10,1
18,8,1,-10,1
19,8,1,-10,1
20,8,1,-10,1
21,8,1,-10,1
22,8,1,-10,1
23,8,1,-10,1
24,8,1,-10,1
25,8,1,-10,1
26,8,1,-10,1
27,8,1,-10,1
28,8,1,-10,1
29,8,1,-10,1
30,8,1,-10,1
31,8,1,-10,1
32,8,1,-10,1
33,8,1,-10,1
34,8,1,-10,1
35,8,1,-10,1
36,8,1,-10,1
37,8,1,-10,1
38,8,1,-10,1
39,8,1,-10,1
40,8,1,-10,1
41,8,1,-10,1
42,8,1,-10,1
43,8,1,-10,1
44,8,1,-10,1
45,8,1,-10,1
46,8,1,-10,1
47,8,1,-10,1
48,8,1,-10,1
49,8,1,-10,1
50,8,1,-10,1
51,8,1,-10,1
52,8,1,-10,1
53,8,1,-10,1
54,8,1,-10,1
55,8,1,-10,1
56,8,1,-10,1
57,8,1,-10,1
58,8,1,-10,1
59,8,1,-10,1
60,8,1,-10,1
61,8,1,-10,1
62,8,1,-10,1
63,8,1,-10,1
64,8,1,-10,1
65,8,1,-10,1
66,8,1,-10,1
67,8,1,-10,1
68,8,1,-10,1
69,8,1,-10,1
70,8,1,-10,1
71,8,1,-10,1
72,8,1,-10,1
73,8,1,-10,1
74,8,1,-10,1
75,8,1,-10,1
76,8,1,-10,1
77,8,1,-10,1
78,8,1,-10,1
79,8,1,-10,1
80,8,1,-10,1
81,8,1,-10,1
82,8,1,-10,1
83,8,1,-10,1
84,8,1,-10,1
85,8,1,-10,1
86,8,1,-10,1
87,8,1,-10,1
88,8,1,-10,1
89,8,1,-10,1
90,8,1,-10,1
91,8,1,-10,1
92,8,1,-10,1
93,8,1,-10,1
94,8,1,-10,1
95,8,1,-10,1
96,8,1,-10,1
97,8,1,-10,1
98,8,1,-10,1
99,8,1,-10,1
100,8,1,-10,1
1,8,1,-9,1
2,8,1,-9,1
3,8,1,-9,1
4,8,1,-9,1
5,8,1,-9,1
6,8,1,-9,1
7,8,1,-9,1
8,8,1,-9,1
9,8,1,-9,1
10,8,1,-9,1
11,8,1,-9,1
12,8,1,-9,1
13,8,1,-9,1
14,8,1,-9,1
